,,,,,,,,,,,,,,,,,,,,,
DEEDLY requirements by classification,,,,,,,,,,,,,,,,,,,,,
"Research recommendations • 21 September 2026 • 86 document types × 18 classifications. Editable proposals, not approved production rules.",,,,,,,,,,,,,,,,,,,,,
"Required = proposed baseline at its due stage, including firm controls. Conditional = trigger applies. Optional = no default gate. See Rule guidance for basis and alternatives.",,,,,,,,,,,,,,,,"Keep as requested, remove ",,,,,
,,,,,,,,,,,,,,,,Keep ,,,Is this required ???,,
A status never overrides a legal-review flag. Unknown facts require review. See Classification guide for route differences; use U/V for your overrides and reasons.,,Freehold,Sectional,Freehold,Sectional,Sectional,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,could be both,,
Document ID,Document,Private Treaty - freehold,Private Treaty — Sectional Title Register,Private Treaty — Township Register,Private Treaty — Extension of Scheme,Private Treaty — Subdivision,Private Treaty — Bulk Transfer,Auction,Sale in Execution,Property in Possession,Deceased Estate — Inheritance,Deceased Estate — Sale,Endorsement — Section 45,Endorsement — Section 45bis,Donation,New Sectional Title Register,New Township Register / Establishment,Scheme Extension (Sections),Subdivision, condition / rule details,decision notes
DOC-001,Identity document / passport,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-002,Residential address evidence - POA,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-003,Income tax registration evidence,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-004,Marriage certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-005,Antenuptial contract,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-006,Divorce order,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-007,Divorce settlement agreement,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-008,Death certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Required,Required,Required,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-009,Bank account confirmation,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-010,Source of funds evidence - leave out ,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-011,Company / close corporation registration documents,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-012,Trust deed and amendments,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-013,Trustee letters of authority,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-014,Beneficial ownership / control evidence - leave out ,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-015,Entity resolution / authority to transact,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-016,Existing representative power of attorney,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-017,Signed offer to purchase / sale agreement,Required,Required,Required,Required,Required,Required,Conditional,Conditional,Required,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-018,Signed addendum / extension agreement,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-019,Municipal account,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-020,Levy account / managing agent details,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-021,Lease agreement,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-022,Deposit / purchase price payment proof,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-023,Last will and testament,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-024,Letters of executorship / applicable appointment,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Required,Required,Required,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-025,Liquidation and distribution account,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Required,Conditional,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-026,Redistribution agreement,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-027,Renunciation / repudiation / adiation evidence,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-028,Auction conditions and signed sale record,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-029,Court order / writ supporting execution sale,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-030,Power of attorney to pass transfer,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-031,Transferor declaration / affidavit,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-032,Transferee declaration / affidavit,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-033,FICA / client information questionnaire,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-034,Spousal consent,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-035,Deed of transfer,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-036,Transfer duty declaration (TDC01),Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Conditional,Conditional,Conditional,Conditional,,
DOC-037,Deed of donation - ,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-038,Section 45 endorsement application,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-039,Section 45bis endorsement application,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Required,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-040,Conveyancer’s sectional title certificate (s15B),Conditional,Required,Conditional,Not applicable,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-041,Transfer cost quotation / pro forma,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-042,Final account / statement of distribution,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-043,Registration notification,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,,
DOC-044,Rates clearance figures - Required ,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-045,Rates clearance certificate,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-046,Body corporate levy clearance Figures ,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,,
,Body corporate levy clearance Certificate,,Required,Not applicable,Not applicable,Not applicable,Optional,Conditional,,,,,,,,,,,,,
DOC-047,HOA consent / clearance,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-048,SARS transfer duty receipt / exemption receipt,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Conditional,Conditional,Conditional,Conditional,,
DOC-049,Bond approval letter,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-050,Bank / financial guarantee,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Not applicable,Conditional,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,
DOC-051,Bond cancellation figures,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-052,Consent to cancellation of bond,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-053,Existing title deed / registered copy,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-054,Deeds search report,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,,
DOC-055,Electrical certificate of compliance,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-056,Gas certificate of conformity,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-057,Electric fence compliance certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-058,Beetle / wood-destroying organism certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Optional,Conditional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,,
DOC-059,Water / plumbing compliance certificate,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,,
DOC-060,Property valuation report(s),Conditional,Conditional,Conditional,Conditional,Conditional,Conditional,Optional,Optional,Conditional,Conditional,Conditional,Conditional,Conditional,Required,Conditional,Conditional,Conditional,Conditional,,
